Country,Cause,CancerSite,ageStart,ageGroup,ageLabel,Females_2011,Females_2012,Females_2013,Females_2014,Females_2015,Females_2016,Females_2017,Males_2011,Males_2012,Males_2013,Males_2014,Males_2015,Males_2016,Males_2017
Denmark,Malignant neoplasm of other parts of uterus,Other Parts of Uterus,75,75-79,From 75 to 79 years,18,27,26,23,25,38,,,,,,,,
Denmark,Malignant neoplasm of other parts of uterus,Other Parts of Uterus,80,80-84,From 80 to 84 years,23,36,24,32,29,32,,,,,,,,
Denmark,Malignant neoplasm of other parts of uterus,Other Parts of Uterus,85,85,85 years or over,30,26,44,37,24,41,,,,,,,,
Denmark,Malignant neoplasm of ovary,Ovary,1,1-4,From 1 to 4 years,0,0,0,0,0,0,,,,,,,,
Denmark,Malignant neoplasm of ovary,Ovary,5,5-9,From 5 to 9 years,0,0,0,0,0,0,,,,,,,,
Denmark,Malignant neoplasm of ovary,Ovary,10,10-14,From 10 to 14 years,0,0,0,0,0,0,,,,,,,,
Denmark,Malignant neoplasm of ovary,Ovary,15,15-19,From 15 to 19 years,0,0,0,0,0,0,,,,,,,,
Denmark,Malignant neoplasm of ovary,Ovary,20,20-24,From 20 to 24 years,0,0,2,0,0,0,,,,,,,,
Denmark,Malignant neoplasm of ovary,Ovary,25,25-29,From 25 to 29 years,1,1,2,0,0,1,,,,,,,,
Denmark,Malignant neoplasm of ovary,Ovary,30,30-34,From 30 to 34 years,0,1,0,1,0,0,,,,,,,,
Denmark,Malignant neoplasm of ovary,Ovary,35,35-39,From 35 to 39 years,0,1,3,1,2,5,,,,,,,,
Denmark,Malignant neoplasm of ovary,Ovary,40,40-44,From 40 to 44 years,9,6,6,3,3,6,,,,,,,,
Denmark,Malignant neoplasm of ovary,Ovary,45,45-49,From 45 to 49 years,13,8,6,8,7,10,,,,,,,,
Denmark,Malignant neoplasm of ovary,Ovary,50,50-54,From 50 to 54 years,20,23,18,16,15,20,,,,,,,,
Denmark,Malignant neoplasm of ovary,Ovary,55,55-59,From 55 to 59 years,29,36,38,25,28,34,,,,,,,,
Denmark,Malignant neoplasm of ovary,Ovary,60,60-64,From 60 to 64 years,36,41,34,35,35,29,,,,,,,,
Denmark,Malignant neoplasm of ovary,Ovary,65,65-69,From 65 to 69 years,63,66,58,52,61,56,,,,,,,,
Denmark,Malignant neoplasm of ovary,Ovary,70,70-74,From 70 to 74 years,64,57,48,51,54,62,,,,,,,,
Denmark,Malignant neoplasm of ovary,Ovary,75,75-79,From 75 to 79 years,47,42,55,54,61,65,,,,,,,,
Denmark,Malignant neoplasm of ovary,Ovary,80,80-84,From 80 to 84 years,50,52,43,42,49,53,,,,,,,,
Denmark,Malignant neoplasm of ovary,Ovary,85,85,85 years or over,44,52,51,42,44,55,,,,,,,,
Denmark,Malignant neoplasm of pancreas,Pancreas,1,1-4,From 1 to 4 years,0,0,0,0,0,0,,0,0,0,0,0,0,
Denmark,Malignant neoplasm of pancreas,Pancreas,5,5-9,From 5 to 9 years,0,0,0,0,0,0,,0,0,0,0,0,0,
Denmark,Malignant neoplasm of pancreas,Pancreas,10,10-14,From 10 to 14 years,0,0,0,0,0,0,,0,0,0,0,0,0,
Denmark,Malignant neoplasm of pancreas,Pancreas,15,15-19,From 15 to 19 years,0,0,0,0,0,0,,0,0,0,0,0,0,
Denmark,Malignant neoplasm of pancreas,Pancreas,20,20-24,From 20 to 24 years,0,0,0,0,0,0,,0,0,0,0,0,0,
Denmark,Malignant neoplasm of pancreas,Pancreas,25,25-29,From 25 to 29 years,0,0,0,0,0,0,,0,0,0,0,0,0,
Denmark,Malignant neoplasm of pancreas,Pancreas,30,30-34,From 30 to 34 years,0,0,0,0,0,0,,1,0,0,0,1,1,
Denmark,Malignant neoplasm of pancreas,Pancreas,35,35-39,From 35 to 39 years,0,0,0,0,1,0,,1,2,2,1,0,1,
Denmark,Malignant neoplasm of pancreas,Pancreas,40,40-44,From 40 to 44 years,6,2,2,5,5,2,,2,5,4,2,2,2,
Denmark,Malignant neoplasm of pancreas,Pancreas,45,45-49,From 45 to 49 years,7,6,5,9,9,5,,12,10,7,8,6,5,
Denmark,Malignant neoplasm of pancreas,Pancreas,50,50-54,From 50 to 54 years,11,11,13,8,10,19,,14,19,23,16,31,18,
Denmark,Malignant neoplasm of pancreas,Pancreas,55,55-59,From 55 to 59 years,29,25,29,17,25,22,,37,48,36,23,37,31,
Denmark,Malignant neoplasm of pancreas,Pancreas,60,60-64,From 60 to 64 years,33,48,47,36,42,39,,49,62,63,49,44,48,
Denmark,Malignant neoplasm of pancreas,Pancreas,65,65-69,From 65 to 69 years,58,84,76,76,65,46,,85,96,84,81,98,108,
Denmark,Malignant neoplasm of pancreas,Pancreas,70,70-74,From 70 to 74 years,76,69,82,107,86,90,,97,97,95,106,103,128,
Denmark,Malignant neoplasm of pancreas,Pancreas,75,75-79,From 75 to 79 years,77,83,74,88,87,85,,72,83,67,85,73,72,
Denmark,Malignant neoplasm of pancreas,Pancreas,80,80-84,From 80 to 84 years,55,70,63,82,76,78,,54,63,51,54,47,67,
Denmark,Malignant neoplasm of pancreas,Pancreas,85,85,85 years or over,78,74,82,95,74,75,,41,43,38,35,39,45,
Denmark,Malignant neoplasm of prostate,Prostate,1,1-4,From 1 to 4 years,,,,,,,,0,0,0,0,0,0,
Denmark,Malignant neoplasm of prostate,Prostate,5,5-9,From 5 to 9 years,,,,,,,,0,0,0,0,0,0,
Denmark,Malignant neoplasm of prostate,Prostate,10,10-14,From 10 to 14 years,,,,,,,,0,0,0,0,0,0,
Denmark,Malignant neoplasm of prostate,Prostate,15,15-19,From 15 to 19 years,,,,,,,,0,0,0,0,0,0,
Denmark,Malignant neoplasm of prostate,Prostate,20,20-24,From 20 to 24 years,,,,,,,,0,0,0,0,0,0,
Denmark,Malignant neoplasm of prostate,Prostate,25,25-29,From 25 to 29 years,,,,,,,,0,0,1,0,0,0,
Denmark,Malignant neoplasm of prostate,Prostate,30,30-34,From 30 to 34 years,,,,,,,,0,0,0,0,0,0,
Denmark,Malignant neoplasm of prostate,Prostate,35,35-39,From 35 to 39 years,,,,,,,,0,0,0,0,0,0,
Denmark,Malignant neoplasm of prostate,Prostate,40,40-44,From 40 to 44 years,,,,,,,,0,0,0,0,0,0,
Denmark,Malignant neoplasm of prostate,Prostate,45,45-49,From 45 to 49 years,,,,,,,,0,1,1,0,1,2,
Denmark,Malignant neoplasm of prostate,Prostate,50,50-54,From 50 to 54 years,,,,,,,,5,9,3,7,6,4,
Denmark,Malignant neoplasm of prostate,Prostate,55,55-59,From 55 to 59 years,,,,,,,,20,18,23,22,9,14,
Denmark,Malignant neoplasm of prostate,Prostate,60,60-64,From 60 to 64 years,,,,,,,,58,45,46,37,38,49,
Denmark,Malignant neoplasm of prostate,Prostate,65,65-69,From 65 to 69 years,,,,,,,,128,137,107,123,102,106,
Denmark,Malignant neoplasm of prostate,Prostate,70,70-74,From 70 to 74 years,,,,,,,,160,155,164,149,177,191,
Denmark,Malignant neoplasm of prostate,Prostate,75,75-79,From 75 to 79 years,,,,,,,,234,213,208,214,200,216,
Denmark,Malignant neoplasm of prostate,Prostate,80,80-84,From 80 to 84 years,,,,,,,,259,247,275,235,248,258,
Denmark,Malignant neoplasm of prostate,Prostate,85,85,85 years or over,,,,,,,,364,329,370,356,389,385,
Denmark,Malignant neoplasm of stomach,Stomach,1,1-4,From 1 to 4 years,0,0,0,0,0,0,,0,0,0,0,0,0,
Denmark,Malignant neoplasm of stomach,Stomach,5,5-9,From 5 to 9 years,0,0,0,0,0,0,,0,0,0,0,0,0,
Denmark,Malignant neoplasm of stomach,Stomach,10,10-14,From 10 to 14 years,0,0,0,0,0,0,,0,0,0,0,0,0,
Denmark,Malignant neoplasm of stomach,Stomach,15,15-19,From 15 to 19 years,0,0,0,0,0,0,,0,0,0,0,0,0,
Denmark,Malignant neoplasm of stomach,Stomach,20,20-24,From 20 to 24 years,0,0,0,0,0,1,,0,0,0,0,0,1,
Denmark,Malignant neoplasm of stomach,Stomach,25,25-29,From 25 to 29 years,0,0,1,1,1,0,,0,0,0,0,1,0,
Denmark,Malignant neoplasm of stomach,Stomach,30,30-34,From 30 to 34 years,0,1,1,0,0,0,,0,2,0,1,0,1,
Denmark,Malignant neoplasm of stomach,Stomach,35,35-39,From 35 to 39 years,0,2,3,0,0,0,,1,0,0,2,2,2,
Denmark,Malignant neoplasm of stomach,Stomach,40,40-44,From 40 to 44 years,2,2,1,4,3,1,,5,2,3,4,4,3,
Denmark,Malignant neoplasm of stomach,Stomach,45,45-49,From 45 to 49 years,6,5,1,4,6,7,,10,8,7,1,2,7,
Denmark,Malignant neoplasm of stomach,Stomach,50,50-54,From 50 to 54 years,6,4,4,8,4,6,,9,8,10,7,12,7,
Denmark,Malignant neoplasm of stomach,Stomach,55,55-59,From 55 to 59 years,13,10,13,11,9,10,,20,22,14,23,19,28,
Denmark,Malignant neoplasm of stomach,Stomach,60,60-64,From 60 to 64 years,12,12,12,19,13,9,,26,35,30,23,29,22,
Denmark,Malignant neoplasm of stomach,Stomach,65,65-69,From 65 to 69 years,13,21,17,26,16,20,,49,46,43,43,40,39,
Denmark,Malignant neoplasm of stomach,Stomach,70,70-74,From 70 to 74 years,11,29,17,19,16,19,,41,42,38,42,39,57,
Denmark,Malignant neoplasm of stomach,Stomach,75,75-79,From 75 to 79 years,17,16,15,27,21,20,,40,41,35,42,35,41,
Denmark,Malignant neoplasm of stomach,Stomach,80,80-84,From 80 to 84 years,23,24,14,22,26,22,,33,30,29,26,35,42,
Denmark,Malignant neoplasm of stomach,Stomach,85,85,85 years or over,27,30,31,28,17,29,,27,24,24,38,29,25,
Denmark,Malignant neoplasm of thyroid gland,Thyroid Gland,1,1-4,From 1 to 4 years,0,0,0,0,0,0,,0,0,0,0,0,0,
Denmark,Malignant neoplasm of thyroid gland,Thyroid Gland,5,5-9,From 5 to 9 years,0,0,0,0,0,0,,0,0,0,0,0,0,
Denmark,Malignant neoplasm of thyroid gland,Thyroid Gland,10,10-14,From 10 to 14 years,0,0,0,0,0,0,,0,0,0,0,0,0,
Denmark,Malignant neoplasm of thyroid gland,Thyroid Gland,15,15-19,From 15 to 19 years,0,0,0,0,0,0,,0,0,0,0,0,0,
Denmark,Malignant neoplasm of thyroid gland,Thyroid Gland,20,20-24,From 20 to 24 years,0,0,0,0,0,0,,0,0,0,0,0,0,
Denmark,Malignant neoplasm of thyroid gland,Thyroid Gland,25,25-29,From 25 to 29 years,0,0,0,0,0,0,,0,0,0,0,0,0,
Denmark,Malignant neoplasm of thyroid gland,Thyroid Gland,30,30-34,From 30 to 34 years,0,0,0,0,0,0,,0,0,0,0,0,0,
Denmark,Malignant neoplasm of thyroid gland,Thyroid Gland,35,35-39,From 35 to 39 years,0,0,0,0,0,0,,0,0,0,1,0,0,
Denmark,Malignant neoplasm of thyroid gland,Thyroid Gland,40,40-44,From 40 to 44 years,0,0,0,0,0,0,,2,2,0,1,0,1,
Denmark,Malignant neoplasm of thyroid gland,Thyroid Gland,45,45-49,From 45 to 49 years,1,0,0,0,1,1,,0,1,0,0,0,0,
Denmark,Malignant neoplasm of thyroid gland,Thyroid Gland,50,50-54,From 50 to 54 years,0,0,2,1,1,0,,0,0,1,0,1,0,
Denmark,Malignant neoplasm of thyroid gland,Thyroid Gland,55,55-59,From 55 to 59 years,0,2,0,1,3,1,,0,1,2,1,0,1,
Denmark,Malignant neoplasm of thyroid gland,Thyroid Gland,60,60-64,From 60 to 64 years,2,1,0,2,1,2,,1,1,2,1,0,3,
Denmark,Malignant neoplasm of thyroid gland,Thyroid Gland,65,65-69,From 65 to 69 years,4,5,4,4,1,2,,1,1,1,4,0,4,
Denmark,Malignant neoplasm of thyroid gland,Thyroid Gland,70,70-74,From 70 to 74 years,3,4,2,0,4,4,,4,5,1,3,2,2,
Denmark,Malignant neoplasm of thyroid gland,Thyroid Gland,75,75-79,From 75 to 79 years,6,6,2,3,3,7,,0,1,0,1,2,1,
Denmark,Malignant neoplasm of thyroid gland,Thyroid Gland,80,80-84,From 80 to 84 years,5,8,3,3,4,3,,2,0,0,0,0,2,
Denmark,Malignant neoplasm of thyroid gland,Thyroid Gland,85,85,85 years or over,9,4,6,13,8,7,,2,1,3,4,4,3,
Denmark,"Malignant neoplasm of trachea, bronchus and lung","Trachea, Bronchus and Lung",1,1-4,From 1 to 4 years,0,0,0,0,0,0,,0,0,0,0,0,0,
Denmark,"Malignant neoplasm of trachea, bronchus and lung","Trachea, Bronchus and Lung",5,5-9,From 5 to 9 years,0,0,0,0,0,0,,0,0,0,0,0,0,
Denmark,"Malignant neoplasm of trachea, bronchus and lung","Trachea, Bronchus and Lung",10,10-14,From 10 to 14 years,0,0,0,0,0,0,,0,0,0,0,0,0,
Denmark,"Malignant neoplasm of trachea, bronchus and lung","Trachea, Bronchus and Lung",15,15-19,From 15 to 19 years,0,0,0,0,0,0,,0,1,0,0,0,0,
Denmark,"Malignant neoplasm of trachea, bronchus and lung","Trachea, Bronchus and Lung",20,20-24,From 20 to 24 years,0,0,0,0,0,1,,0,1,1,1,0,0,
Denmark,"Malignant neoplasm of trachea, bronchus and lung","Trachea, Bronchus and Lung",25,25-29,From 25 to 29 years,0,0,0,0,0,1,,0,1,0,0,0,1,
Denmark,"Malignant neoplasm of trachea, bronchus and lung","Trachea, Bronchus and Lung",30,30-34,From 30 to 34 years,1,1,1,2,0,2,,2,0,0,2,0,0,
Denmark,"Malignant neoplasm of trachea, bronchus and lung","Trachea, Bronchus and Lung",35,35-39,From 35 to 39 years,2,3,1,1,4,0,,6,3,1,5,4,1,
Denmark,"Malignant neoplasm of trachea, bronchus and lung","Trachea, Bronchus and Lung",40,40-44,From 40 to 44 years,17,6,3,4,11,4,,7,7,6,8,6,2,
Denmark,"Malignant neoplasm of trachea, bronchus and lung","Trachea, Bronchus and Lung",45,45-49,From 45 to 49 years,31,36,29,23,19,22,,26,33,30,29,16,16,
Denmark,"Malignant neoplasm of trachea, bronchus and lung","Trachea, Bronchus and Lung",50,50-54,From 50 to 54 years,73,76,74,67,65,59,,40,60,66,51,53,44,
Denmark,"Malignant neoplasm of trachea, bronchus and lung","Trachea, Bronchus and Lung",55,55-59,From 55 to 59 years,124,141,114,123,129,109,,126,123,119,135,106,110,
Denmark,"Malignant neoplasm of trachea, bronchus and lung","Trachea, Bronchus and Lung",60,60-64,From 60 to 64 years,207,174,176,216,210,203,,236,211,233,210,184,197,
Denmark,"Malignant neoplasm of trachea, bronchus and lung","Trachea, Bronchus and Lung",65,65-69,From 65 to 69 years,302,307,290,303,296,290,,357,363,325,373,330,300,
Denmark,"Malignant neoplasm of trachea, bronchus and lung","Trachea, Bronchus and Lung",70,70-74,From 70 to 74 years,273,295,301,326,338,325,,320,347,364,411,396,379,
Denmark,"Malignant neoplasm of trachea, bronchus and lung","Trachea, Bronchus and Lung",75,75-79,From 75 to 79 years,329,316,318,281,246,289,,315,336,326,336,323,365,
Denmark,"Malignant neoplasm of trachea, bronchus and lung","Trachea, Bronchus and Lung",80,80-84,From 80 to 84 years,220,248,273,239,266,270,,258,292,252,270,247,263,
Denmark,"Malignant neoplasm of trachea, bronchus and lung","Trachea, Bronchus and Lung",85,85,85 years or over,187,199,189,184,204,202,,160,200,191,168,232,190,
Denmark,Malignant neoplasms (C00-C97),All Cancers,1,1-4,From 1 to 4 years,3,1,4,4,0,4,,6,1,1,3,4,1,
Denmark,Malignant neoplasms (C00-C97),All Cancers,5,5-9,From 5 to 9 years,4,1,3,2,3,2,,5,5,2,2,2,3,
Denmark,Malignant neoplasms (C00-C97),All Cancers,10,10-14,From 10 to 14 years,5,2,3,3,2,4,,4,1,3,4,4,3,
Denmark,Malignant neoplasms (C00-C97),All Cancers,15,15-19,From 15 to 19 years,4,2,5,5,6,2,,4,4,4,1,1,4,
Denmark,Malignant neoplasms (C00-C97),All Cancers,20,20-24,From 20 to 24 years,2,8,7,9,5,9,,7,10,4,7,8,1,
Denmark,Malignant neoplasms (C00-C97),All Cancers,25,25-29,From 25 to 29 years,6,11,16,10,6,16,,9,10,5,9,7,12,
Denmark,Malignant neoplasms (C00-C97),All Cancers,30,30-34,From 30 to 34 years,18,26,13,24,14,11,,18,13,10,21,20,17,
Denmark,Malignant neoplasms (C00-C97),All Cancers,35,35-39,From 35 to 39 years,30,37,40,35,37,39,,39,22,27,30,27,21,
Denmark,Malignant neoplasms (C00-C97),All Cancers,40,40-44,From 40 to 44 years,98,78,76,71,77,67,,51,61,54,48,44,54,
Denmark,Malignant neoplasms (C00-C97),All Cancers,45,45-49,From 45 to 49 years,172,167,146,141,146,142,,131,142,118,111,119,103,
Denmark,Malignant neoplasms (C00-C97),All Cancers,50,50-54,From 50 to 54 years,297,298,261,261,262,272,,231,260,255,246,246,210,
Denmark,Malignant neoplasms (C00-C97),All Cancers,55,55-59,From 55 to 59 years,446,470,451,419,408,429,,513,491,467,503,433,468,
Denmark,Malignant neoplasms (C00-C97),All Cancers,60,60-64,From 60 to 64 years,731,648,613,683,646,643,,854,799,809,768,739,738,
Denmark,Malignant neoplasms (C00-C97),All Cancers,65,65-69,From 65 to 69 years,982,1071,1009,1016,944,959,,1278,1337,1248,1309,1208,1177,
Denmark,Malignant neoplasms (C00-C97),All Cancers,70,70-74,From 70 to 74 years,981,1077,988,1122,1172,1217,,1290,1332,1363,1403,1473,1509,
Denmark,Malignant neoplasms (C00-C97),All Cancers,75,75-79,From 75 to 79 years,1115,1140,1132,1117,1078,1148,,1323,1290,1250,1316,1304,1388,
Denmark,Malignant neoplasms (C00-C97),All Cancers,80,80-84,From 80 to 84 years,1065,1110,1073,1050,1068,1119,,1194,1171,1186,1154,1165,1213,
Denmark,Malignant neoplasms (C00-C97),All Cancers,85,85,85 years or over,1404,1378,1411,1408,1404,1488,,1160,1200,1194,1224,1331,1286,
Estonia,Malignant neoplasm of bladder,Bladder,1,1-4,From 1 to 4 years,,,,0,0,,,,,,0,0,,
Estonia,Malignant neoplasm of bladder,Bladder,5,5-9,From 5 to 9 years,,,,,0,,,,,,0,0,,
Estonia,Malignant neoplasm of bladder,Bladder,10,10-14,From 10 to 14 years,,,,0,0,,,,,,0,0,,
Estonia,Malignant neoplasm of bladder,Bladder,15,15-19,From 15 to 19 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Estonia,Malignant neoplasm of bladder,Bladder,20,20-24,From 20 to 24 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Estonia,Malignant neoplasm of bladder,Bladder,25,25-29,From 25 to 29 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Estonia,Malignant neoplasm of bladder,Bladder,30,30-34,From 30 to 34 years,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Estonia,Malignant neoplasm of bladder,Bladder,35,35-39,From 35 to 39 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Estonia,Malignant neoplasm of bladder,Bladder,40,40-44,From 40 to 44 years,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Estonia,Malignant neoplasm of bladder,Bladder,45,45-49,From 45 to 49 years,1,0,0,0,0,0,0,1,0,1,0,0,0,0
Estonia,Malignant neoplasm of bladder,Bladder,50,50-54,From 50 to 54 years,1,1,0,0,1,0,0,2,3,1,0,2,0,1
Estonia,Malignant neoplasm of bladder,Bladder,55,55-59,From 55 to 59 years,0,0,4,1,0,1,1,3,1,2,2,3,1,2
Estonia,Malignant neoplasm of bladder,Bladder,60,60-64,From 60 to 64 years,1,1,2,0,2,2,2,7,6,8,5,6,14,7
Estonia,Malignant neoplasm of bladder,Bladder,65,65-69,From 65 to 69 years,2,1,2,4,2,5,0,6,5,9,11,9,17,12
Estonia,Malignant neoplasm of bladder,Bladder,70,70-74,From 70 to 74 years,4,4,2,5,1,4,3,16,19,13,14,15,8,7
Estonia,Malignant neoplasm of bladder,Bladder,75,75-79,From 75 to 79 years,3,4,3,5,3,3,5,19,11,18,10,12,12,17
Estonia,Malignant neoplasm of bladder,Bladder,80,80-84,From 80 to 84 years,13,5,12,5,5,5,6,22,10,14,13,13,22,13
Estonia,Malignant neoplasm of bladder,Bladder,85,85,85 years or over,5,5,9,7,12,9,14,14,13,15,15,14,11,21
Estonia,Malignant neoplasm of brain and central nervous system,Brain and Central Nervous System,1,1-4,From 1 to 4 years,,,,1,1,,,,,,1,1,,
Estonia,Malignant neoplasm of brain and central nervous system,Brain and Central Nervous System,5,5-9,From 5 to 9 years,,,,,1,,,,,,0,0,,
Estonia,Malignant neoplasm of brain and central nervous system,Brain and Central Nervous System,10,10-14,From 10 to 14 years,,,,0,0,,,,,,0,0,,
Estonia,Malignant neoplasm of brain and central nervous system,Brain and Central Nervous System,15,15-19,From 15 to 19 years,0,0,0,0,0,1,0,0,1,1,1,1,0,0
Estonia,Malignant neoplasm of brain and central nervous system,Brain and Central Nervous System,20,20-24,From 20 to 24 years,0,1,0,0,0,0,0,1,1,0,0,1,0,0
Estonia,Malignant neoplasm of brain and central nervous system,Brain and Central Nervous System,25,25-29,From 25 to 29 years,0,1,0,0,0,1,0,0,1,0,0,0,0,2
Estonia,Malignant neoplasm of brain and central nervous system,Brain and Central Nervous System,30,30-34,From 30 to 34 years,2,1,0,2,2,2,2,1,1,1,0,1,0,2
Estonia,Malignant neoplasm of brain and central nervous system,Brain and Central Nervous System,35,35-39,From 35 to 39 years,2,1,0,1,1,2,1,2,1,1,1,1,1,2
Estonia,Malignant neoplasm of brain and central nervous system,Brain and Central Nervous System,40,40-44,From 40 to 44 years,3,1,0,0,2,3,2,3,1,4,2,3,3,3
Estonia,Malignant neoplasm of brain and central nervous system,Brain and Central Nervous System,45,45-49,From 45 to 49 years,1,1,3,1,3,4,2,2,3,0,4,2,1,2
Estonia,Malignant neoplasm of brain and central nervous system,Brain and Central Nervous System,50,50-54,From 50 to 54 years,3,1,4,6,2,2,3,4,1,3,2,3,1,1
Estonia,Malignant neoplasm of brain and central nervous system,Brain and Central Nervous System,55,55-59,From 55 to 59 years,3,2,6,3,8,4,7,1,7,3,7,6,6,8
Estonia,Malignant neoplasm of brain and central nervous system,Brain and Central Nervous System,60,60-64,From 60 to 64 years,7,6,3,6,4,7,5,5,7,6,5,9,6,9
Estonia,Malignant neoplasm of brain and central nervous system,Brain and Central Nervous System,65,65-69,From 65 to 69 years,2,3,8,5,7,4,9,5,9,5,4,7,8,6
Estonia,Malignant neoplasm of brain and central nervous system,Brain and Central Nervous System,70,70-74,From 70 to 74 years,12,11,12,9,3,8,3,7,7,10,4,2,5,8
Estonia,Malignant neoplasm of brain and central nervous system,Brain and Central Nervous System,75,75-79,From 75 to 79 years,7,4,5,11,5,8,6,3,3,7,5,7,1,5
Estonia,Malignant neoplasm of brain and central nervous system,Brain and Central Nervous System,80,80-84,From 80 to 84 years,3,5,7,4,6,6,6,3,2,2,7,4,0,6
Estonia,Malignant neoplasm of brain and central nervous system,Brain and Central Nervous System,85,85,85 years or over,5,0,3,6,6,4,5,0,1,2,2,0,5,2
Estonia,Malignant neoplasm of breast,Breast,1,1-4,From 1 to 4 years,,,,0,0,,,,,,0,0,,
Estonia,Malignant neoplasm of breast,Breast,5,5-9,From 5 to 9 years,,,,,0,,,,,,0,0,,
Estonia,Malignant neoplasm of breast,Breast,10,10-14,From 10 to 14 years,,,,0,0,,,,,,0,0,,
Estonia,Malignant neoplasm of breast,Breast,15,15-19,From 15 to 19 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Estonia,Malignant neoplasm of breast,Breast,20,20-24,From 20 to 24 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Estonia,Malignant neoplasm of breast,Breast,25,25-29,From 25 to 29 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Estonia,Malignant neoplasm of breast,Breast,30,30-34,From 30 to 34 years,1,1,0,1,1,3,0,0,0,0,0,0,0,0
Estonia,Malignant neoplasm of breast,Breast,35,35-39,From 35 to 39 years,0,1,2,4,4,3,0,0,0,0,0,0,0,0
Estonia,Malignant neoplasm of breast,Breast,40,40-44,From 40 to 44 years,9,6,8,3,9,3,5,0,0,0,0,0,0,0
Estonia,Malignant neoplasm of breast,Breast,45,45-49,From 45 to 49 years,11,10,7,9,6,5,7,0,1,0,0,0,0,0
Estonia,Malignant neoplasm of breast,Breast,50,50-54,From 50 to 54 years,19,14,22,18,13,17,12,1,0,1,0,0,0,1
Estonia,Malignant neoplasm of breast,Breast,55,55-59,From 55 to 59 years,26,30,14,19,20,23,19,0,0,0,0,0,1,0
Estonia,Malignant neoplasm of breast,Breast,60,60-64,From 60 to 64 years,26,26,23,21,31,23,28,1,0,0,0,1,1,0
Estonia,Malignant neoplasm of breast,Breast,65,65-69,From 65 to 69 years,25,39,31,23,18,27,25,0,0,1,0,0,1,0
Estonia,Malignant neoplasm of breast,Breast,70,70-74,From 70 to 74 years,38,32,27,40,26,31,39,1,0,0,0,0,0,0
Estonia,Malignant neoplasm of breast,Breast,75,75-79,From 75 to 79 years,35,32,24,30,41,19,45,0,1,0,2,1,0,0
Estonia,Malignant neoplasm of breast,Breast,80,80-84,From 80 to 84 years,27,30,22,33,24,33,40,0,0,1,0,1,0,1
Estonia,Malignant neoplasm of breast,Breast,85,85,85 years or over,36,43,30,50,48,49,44,0,0,1,0,0,0,1
Estonia,Malignant neoplasm of cervix uteri,Cervix Uteri,1,1-4,From 1 to 4 years,,,,0,0,,,,,,,,,
Estonia,Malignant neoplasm of cervix uteri,Cervix Uteri,5,5-9,From 5 to 9 years,,,,,0,,,,,,,,,
Estonia,Malignant neoplasm of cervix uteri,Cervix Uteri,10,10-14,From 10 to 14 years,,,,0,0,,,,,,,,,
Estonia,Malignant neoplasm of cervix uteri,Cervix Uteri,15,15-19,From 15 to 19 years,0,0,0,0,0,0,0,,,,,,,
Estonia,Malignant neoplasm of cervix uteri,Cervix Uteri,20,20-24,From 20 to 24 years,0,0,0,0,0,0,0,,,,,,,
Estonia,Malignant neoplasm of cervix uteri,Cervix Uteri,25,25-29,From 25 to 29 years,0,0,0,1,0,1,0,,,,,,,
Estonia,Malignant neoplasm of cervix uteri,Cervix Uteri,30,30-34,From 30 to 34 years,1,1,1,1,0,0,1,,,,,,,
Estonia,Malignant neoplasm of cervix uteri,Cervix Uteri,35,35-39,From 35 to 39 years,2,4,0,2,1,4,2,,,,,,,
Estonia,Malignant neoplasm of cervix uteri,Cervix Uteri,40,40-44,From 40 to 44 years,0,3,4,1,2,1,2,,,,,,,
Estonia,Malignant neoplasm of cervix uteri,Cervix Uteri,45,45-49,From 45 to 49 years,4,7,3,3,8,6,5,,,,,,,
Estonia,Malignant neoplasm of cervix uteri,Cervix Uteri,50,50-54,From 50 to 54 years,10,6,4,11,4,4,5,,,,,,,
Estonia,Malignant neoplasm of cervix uteri,Cervix Uteri,55,55-59,From 55 to 59 years,11,10,9,5,3,6,6,,,,,,,
Estonia,Malignant neoplasm of cervix uteri,Cervix Uteri,60,60-64,From 60 to 64 years,9,9,7,11,12,9,10,,,,,,,
Estonia,Malignant neoplasm of cervix uteri,Cervix Uteri,65,65-69,From 65 to 69 years,7,6,6,6,5,3,10,,,,,,,
Estonia,Malignant neoplasm of cervix uteri,Cervix Uteri,70,70-74,From 70 to 74 years,10,7,11,7,4,9,4,,,,,,,
Estonia,Malignant neoplasm of cervix uteri,Cervix Uteri,75,75-79,From 75 to 79 years,5,9,8,10,4,4,5,,,,,,,
Estonia,Malignant neoplasm of cervix uteri,Cervix Uteri,80,80-84,From 80 to 84 years,9,6,5,5,7,6,7,,,,,,,
Estonia,Malignant neoplasm of cervix uteri,Cervix Uteri,85,85,85 years or over,9,4,5,3,9,6,13,,,,,,,
